total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,run_time_original_mip,run_time_callback_mip,run_time_total,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
106.4543987,106.4543987,109.5392621,0.028978261,5.701140881,5.7,132.03,5.7,137.73,24,11,11,11,2,2,"7,8,9,10,15,17,18,19,22,24,25"
107.9020523,107.9020523,110.6899833,0.025837608,2.970820904,2.97,132.02,2.97,134.99,24,11,11,11,2,2,"2,4,7,9,12,14,15,16,17,19,22"
107.0920963,107.0920963,110.1425738,0.028484618,10.23321199,10.23,132.01,10.23,142.24,24,11,12,12,2,2,"2,4,6,10,12,14,15,16,18,22,25"
107.8427801,107.8427801,110.5735133,0.025321428,1.817688942,1.82,132.02,1.82,133.84,24,11,11,11,2,2,"4,6,7,10,14,17,18,19,22,24,25"
105.6829402,105.6829402,108.6815988,0.028374103,6.588739872,6.59,132.02,6.59,138.61,24,11,12,12,2,2,"2,6,7,10,12,15,18,19,22,24,25"
103.6816469,103.6816469,106.7034068,0.029144598,8.169932842,8.17,132.02,8.17,140.19,24,11,12,12,2,2,"2,6,8,9,10,12,14,16,18,19,22"
107.069787,107.069787,110.1213091,0.02850031,6.403362989,6.4,132.01,6.4,138.41,24,11,11,11,2,2,"6,7,8,9,12,16,17,18,19,24,25"
106.47438,106.47438,109.3700612,0.027196038,7.957165956,7.96,132.03,7.96,139.99,24,11,12,12,2,2,"2,4,6,8,12,14,15,16,17,18,25"
102.2354134,102.2354134,105.2922294,0.029899776,3.259685993,3.26,144.02,3.26,147.28,24,12,13,13,2,2,"2,6,8,9,12,14,15,16,17,18,22,25"
103.5396077,103.5396077,106.5518439,0.029092598,10.61122608,10.61,144.01,10.61,154.62,24,12,12,12,2,2,"2,6,7,8,9,10,12,15,16,17,18,24"
105.6549663,105.6549663,108.822737,0.029982222,7.651778936,7.65,144.02,7.65,151.67,24,12,12,12,2,2,"2,6,9,10,12,14,15,16,17,22,24,25"
105.1185585,105.1185585,107.7207533,0.024754856,3.637647152,3.64,144.03,3.64,147.67,24,12,12,12,2,2,"2,7,8,10,12,14,15,17,18,22,24,25"
104.6479798,104.6479798,107.7828557,0.029956392,9.73677206,9.74,144.02,9.74,153.76,24,12,13,13,2,2,"2,4,6,8,9,12,14,15,16,22,24,25"
105.9136188,105.9136188,109.0171183,0.029302176,6.65868187,6.66,144.01,6.66,150.67,24,12,12,12,2,2,"2,4,7,8,9,10,12,17,18,22,24,25"
105.2897972,105.2897972,108.4107902,0.029641932,4.834837198,4.84,144.03,4.84,148.87,24,12,12,12,2,2,"2,6,9,10,14,15,16,17,18,22,24,25"
