total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
113.8651036,113.8651034,117.18465,0.029153327,15.20137095,15.2,0.268816503,8,8,8,2,2,"2,6,7,9,10,17,22,24"
112.9788228,112.9788225,116.3594823,0.029922951,32.62593293,32.63,0.240394478,8,8,8,2,2,"2,4,9,10,14,16,19,22"
113.6360707,113.6360704,117.030039,0.029867001,39.93236208,39.93,0.237706759,8,8,8,2,2,"2,7,9,12,14,15,16,19"
114.4364855,114.4364852,117.780278,0.029219639,8.24174881,8.24,0.295355823,8,8,8,2,2,"2,4,9,16,17,22,24,25"
112.3542085,112.3542083,115.7162773,0.029923837,21.03098893,21.03,0.242496275,8,8,8,2,2,"8,12,14,16,17,18,19,25"
114.6593281,114.6593279,118.0984121,0.029993933,13.14260983,13.14,0.281548704,8,8,8,2,2,"2,4,6,9,16,18,22,25"
110.5681157,110.5681154,113.8810788,0.0299631,460.885473,460.89,0.321895142,9,10,10,2,2,"7,8,9,12,14,15,18,22,25"
111.4958676,111.4958672,114.8251083,0.029859771,100.357558,100.36,0.356303393,9,9,9,2,2,"7,9,10,12,15,16,17,24,25"
112.4734903,112.47349,115.8406158,0.029937061,30.11983109,30.12,0.295355823,9,9,9,2,2,"2,7,8,12,14,17,22,24,25"
111.7501701,111.7501698,115.0719518,0.029725073,50.18121099,50.18,0.249071198,9,9,9,2,2,"2,6,8,10,14,15,17,18,22"
111.4483434,111.4483432,114.7889648,0.029974619,75.75404,75.75,0.227614237,9,9,9,2,2,"2,7,8,9,10,12,14,17,22"
112.6245821,112.6245818,115.9769581,0.029765937,81.51452303,81.51,0.315956955,9,9,9,2,2,"2,7,8,10,15,16,18,24,25"
110.2740811,110.2740808,113.5817202,0.029994712,497.1720581,497.17,0.267741585,9,9,9,2,2,"2,6,10,14,16,17,19,22,24"
113.04626,113.0462596,116.3394791,0.029131609,27.9403801,27.94,0.329544984,9,9,9,2,2,"2,6,7,10,14,15,18,24,25"
112.2487311,112.2487308,115.6062165,0.029911124,46.99902916,47,0.329764074,9,9,9,2,2,"2,7,8,10,14,15,17,24,25"
108.5986882,108.5986879,113.7432439,0.047372175,1200.089678,1200.09,0.289417636,9,10,10,2,2,"6,7,8,9,10,12,16,18,19"
110.4767263,110.476726,113.788757,0.029979446,495.2318721,495.23,0.282404532,9,9,9,2,2,"2,6,8,10,16,17,18,22,25"
112.7043878,112.7043876,116.0428614,0.029621507,22.60240793,22.6,0.255009385,9,9,9,2,2,"4,7,8,12,14,15,17,18,24"
113.530573,113.5305727,116.9338632,0.029976864,33.38111091,33.38,0.267741585,9,9,9,2,2,"2,4,7,9,12,14,15,16,24"
110.4357896,110.4357892,113.7471718,0.029984687,625.2264318,625.23,0.328689156,9,10,10,2,2,"4,8,9,10,12,14,16,22,25"
109.8021654,109.8021651,113.6564773,0.035102334,1200.044544,1200.04,0.314930078,9,9,9,2,2,"2,8,9,10,15,16,19,22,24"
111.8076848,111.8076846,115.1460715,0.029858296,138.320282,138.32,0.263542653,9,9,9,2,2,"2,4,8,9,15,16,17,18,19"
110.4357896,110.4357892,113.7473671,0.029986455,743.1135418,743.11,0.328689156,9,10,10,2,2,"4,8,9,10,12,16,18,22,25"
112.6408147,112.6408144,116.0085578,0.029898074,79.64145088,79.64,0.303224755,9,9,9,2,2,"2,4,7,10,14,15,17,18,25"
111.9701071,111.9701068,115.2590918,0.029373777,92.02750897,92.03,0.304744919,9,9,9,2,2,"2,4,7,10,14,15,17,19,25"
111.8115502,111.8115499,115.1462986,0.029824724,70.53686881,70.54,0.254201597,9,9,9,2,2,"4,7,9,10,12,15,18,19,22"
108.7780456,108.7780453,112.6212344,0.035330558,1200.068022,1200.07,0.307061145,10,10,10,2,2,"6,7,12,14,15,17,18,19,22,24"
111.1565238,111.1565236,114.4910529,0.029998503,149.3133981,149.31,0.247140452,10,10,10,2,2,"2,4,7,8,9,12,14,15,18,19"
109.6718596,109.6718592,112.9584655,0.029967635,159.6938682,159.69,0.350365207,10,10,10,2,2,"8,9,10,12,14,15,17,18,24,25"
110.212301,110.2123007,113.5183853,0.029997419,593.231766,593.23,0.288342718,10,10,10,2,2,"2,4,6,8,9,14,15,17,19,24"
109.3915613,109.391561,113.6091906,0.038555347,1200.048047,1200.05,0.288342718,10,10,10,2,2,"4,6,8,9,10,12,15,16,17,24"
108.5390625,108.5390622,114.8304944,0.057964682,1200.201406,1200.2,0.328689156,10,11,11,2,2,"2,6,7,8,9,10,12,14,16,25"
111.106672,111.1066716,114.4384062,0.029986809,201.1376982,201.14,0.363097408,10,10,10,2,2,"2,4,7,8,12,14,16,19,24,25"
111.3453888,111.3453885,114.675205,0.029905294,149.9524469,149.95,0.356303382,10,10,10,2,2,"2,4,7,10,14,15,16,17,24,25"
108.5262334,108.5262331,114.1555789,0.05187083,1200.25281,1200.25,0.32275097,10,11,11,2,2,"2,4,8,9,10,12,16,18,19,24"
108.3979928,108.3979924,113.6617831,0.048559854,1200.183927,1200.18,0.355228475,10,11,11,2,2,"4,6,7,9,10,16,17,18,19,25"
110.6399596,110.6399592,113.9579917,0.029989459,177.3902812,177.39,0.342496275,10,10,10,2,2,"2,7,10,12,14,15,18,22,24,25"
111.0230975,111.0230972,114.3522694,0.029986303,279.3197849,279.32,0.321895142,10,10,10,2,2,"2,7,8,12,15,16,17,18,24,25"
107.2412075,107.2412072,113.9264171,0.062338071,1200.068451,1200.07,0.329544984,10,11,11,2,2,"2,6,7,10,12,15,16,17,18,24"
110.5797564,110.5797561,113.896279,0.029992134,578.8092861,578.81,0.288342718,10,10,10,2,2,"2,4,6,8,14,15,16,17,19,24"
109.024956,109.0249558,113.0918014,0.03730197,1200.092627,1200.09,0.267741585,10,10,10,2,2,"4,6,7,9,10,12,15,17,19,22"
108.2292764,108.229276,114.0294328,0.053591384,1200.126556,1200.13,0.388561808,10,11,11,2,2,"4,6,7,9,10,15,16,19,22,25"
109.9195352,109.9195348,113.4553028,0.032166875,1200.178154,1200.18,0.307061145,10,10,10,2,2,"2,4,6,14,15,17,18,19,22,24"
109.1216928,109.1216925,113.1384561,0.036809945,1200.119005,1200.12,0.281548704,10,10,10,2,2,"2,4,12,14,16,17,18,19,22,25"
