total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_jobs_arrived,number_of_job_processed,number_of_initial_fires,initial_fire_node_IDs
8.351946378,8.351940118,9.379240802,0.123001443,3600.07323,3600.08,6.259998655,12,12,9,"3,6,8,10,11,14,20,23,25"
8.63334219,8.63333645,9.609847268,0.11310932,3600.052993,3600.06,5.739999565,11,11,9,"2,3,4,8,10,14,15,20,22"
8.183046778,8.183040518,9.422445516,0.151460205,3600.131706,3600.14,6.259998048,13,13,9,"3,4,6,7,10,14,18,22,25"
7.89516127,7.89515494,9.417087894,0.192767965,3600.066326,3600.07,6.329997,13,13,9,"2,3,4,8,10,18,19,22,25"
8.193116604,8.193110434,9.503464463,0.159933647,3600.038198,3600.04,6.169999747,12,12,9,"2,3,6,8,10,14,15,18,20"
8.104433583,8.104427153,9.45010799,0.166042684,3600.072205,3600.08,6.429998698,13,13,10,"2,3,6,10,14,15,19,20,22,23"
8.154135069,8.154128409,9.491996314,0.16407246,3600.123869,3600.13,6.659999187,13,13,10,"2,3,4,6,7,11,18,19,20,25"
7.731197366,7.731191246,9.346001349,0.208869507,3600.095429,3600.1,6.11999906,14,13,10,"3,4,6,8,14,15,18,19,22,24"
7.760892048,7.760885618,9.315080564,0.200259999,3600.126145,3600.13,6.429997602,14,13,10,"2,6,7,8,15,18,19,22,23,25"
8.343153558,8.343147508,9.503564961,0.139086292,3600.082574,3600.09,6.05,13,13,10,"4,6,7,8,14,15,18,19,24,25"
7.702440849,7.702434539,9.35588922,0.214666502,3600.076464,3600.08,6.309999029,14,13,10,"2,3,4,7,10,11,15,19,20,23"
8.113582693,8.113576453,9.314983346,0.148073652,3600.086973,3600.09,6.239999179,13,13,10,"4,6,8,10,14,15,18,20,22,25"
8.429146089,8.429139949,9.369179082,0.111522544,3600.116036,3600.12,6.139999701,12,12,10,"8,10,11,14,18,20,22,23,24,25"
7.666113326,7.666106996,9.371712715,0.222486553,3600.056315,3600.06,6.329999454,14,13,10,"2,3,6,7,10,11,15,18,19,22"
7.88036037,7.88035482,9.545015194,0.211241805,3600.058695,3600.06,5.549999234,12,12,10,"2,3,4,8,11,14,18,22,23,24"
8.697910299,8.697904469,9.519887488,0.094503569,3600.482136,3600.49,5.829999,11,11,10,"3,10,11,15,18,19,20,23,24,25"
8.259458939,8.259452679,9.485719352,0.148468273,3600.065074,3600.07,6.259998031,12,12,10,"3,4,6,10,11,14,18,19,24,25"
7.876578182,7.876572062,9.332182384,0.184802514,3601.138065,3601.14,6.12,13,12,10,"2,3,8,11,14,15,19,23,24,25"
8.129175271,8.129168821,9.489432525,0.167331216,3600.370339,3600.37,6.449998926,12,12,10,"2,3,4,14,15,18,20,22,23,25"
8.199742738,8.199736598,9.419580325,0.148766209,3600.080824,3600.09,6.139999292,12,12,10,"2,6,8,11,18,19,22,23,24,25"
8.055466613,8.055460683,9.256391019,0.149082763,3600.218943,3600.22,5.929998397,13,12,10,"6,7,8,10,11,18,20,22,23,25"
7.481735386,7.481729036,9.389758042,0.255025142,3600.061592,3600.07,6.349998863,14,13,10,"2,4,6,7,10,11,14,20,22,23"
7.552665669,7.552659239,9.375027463,0.241288289,3600.066671,3600.07,6.429999823,14,13,10,"2,6,8,10,11,14,19,22,24,25"
7.731044535,7.731038395,9.339583845,0.208063312,3600.176694,3600.18,6.139998811,14,13,10,"3,4,6,8,11,15,18,20,23,25"
7.963065525,7.963059165,9.344395152,0.173468005,3600.747714,3600.75,6.36,13,13,10,"4,6,7,8,10,11,18,19,20,24"
8.207079861,8.207073221,9.467854039,0.153621246,3600.092281,3600.1,6.64,13,13,11,"2,3,4,6,10,14,15,19,23,24,25"
7.851727743,7.851721413,9.332449579,0.188586437,3600.041627,3600.05,6.329999136,13,12,11,"2,3,6,7,8,10,11,15,20,23,25"
7.882513129,7.882506609,9.339417754,0.184828408,3600.07838,3600.08,6.519999446,14,14,11,"3,4,6,7,8,10,11,18,19,24,25"
7.983546088,7.983539638,9.28846448,0.163451915,3600.116488,3600.12,6.449999455,13,13,11,"2,8,10,11,15,18,19,20,22,23,24"
8.088513769,8.088507319,9.328495554,0.153302481,3600.209883,3600.21,6.449999,13,13,11,"4,6,8,11,15,18,19,20,23,24,25"
7.572135587,7.572129137,9.330751731,0.232249419,3600.070128,3600.08,6.449999,14,13,11,"2,3,6,8,10,11,14,15,19,20,23"
8.469240397,8.469234327,9.427371726,0.113131525,3600.419885,3600.42,6.07,12,12,11,"2,3,7,10,11,14,15,18,19,20,24"
8.075549868,8.075543538,9.413429179,0.165671281,3600.075197,3600.08,6.329981843,13,13,11,"3,4,10,11,14,18,19,20,22,23,25"
7.814550448,7.814544308,9.35139362,0.19666525,3600.083328,3600.09,6.139997503,14,13,11,"3,6,7,8,10,11,14,18,19,23,24"
8.488797255,8.488791115,9.494069454,0.118424205,3600.057249,3600.06,6.13999885,12,12,11,"4,7,10,11,14,18,19,20,23,24,25"
7.615974999,7.615968549,9.255654886,0.215295839,3600.099699,3600.1,6.449999711,14,13,11,"2,4,6,8,11,15,18,20,23,24,25"
7.414549716,7.414543576,9.323504275,0.25746166,3600.078849,3600.08,6.139999426,15,13,11,"2,3,6,7,8,10,11,18,19,23,25"
7.652310138,7.652303588,9.247010957,0.208395727,3600.057963,3600.06,6.549999126,14,13,11,"3,4,7,8,10,11,14,20,22,23,24"
8.400829047,8.400822597,9.380654684,0.116635255,3600.085054,3600.09,6.449988036,12,12,11,"3,8,10,14,18,19,20,22,23,24,25"
7.950625804,7.950619474,9.488485721,0.193427223,3600.08472,3600.09,6.329999586,13,12,11,"2,3,4,6,7,8,11,18,22,24,25"
7.366979901,7.366973381,9.442407287,0.28172138,3600.104035,3600.11,6.519998,15,14,11,"2,3,4,6,10,11,19,20,22,24,25"
8.245711276,8.245705036,9.526317608,0.155306619,3600.204988,3600.21,6.239999,13,13,11,"2,3,4,7,10,14,18,19,20,23,24"
7.295247817,7.295241077,9.344701042,0.280931081,3600.067848,3600.07,6.74,14,13,11,"2,3,4,6,8,10,11,15,18,20,23"
7.70169144,7.70168511,9.287971304,0.205966119,3600.060477,3600.07,6.329999078,14,13,11,"2,3,6,7,8,15,18,19,22,23,25"
7.957025535,7.9570191,9.344678744,0.174394409,3600.06071,3600.06,6.434962575,13,12,11,"2,4,6,7,14,15,19,22,23,24,25"
7.233788339,7.23378189,9.251299068,0.27890213,3600.253597,3600.26,6.449991488,15,13,12,"2,3,4,8,11,14,15,18,20,22,23,25"
7.444503029,7.444496889,9.337617682,0.254298017,3600.068129,3600.07,6.139991225,15,13,12,"2,3,4,7,8,10,11,14,15,18,23,24"
7.731044385,7.731038245,9.32189145,0.205774846,3600.105865,3600.11,6.139999282,14,13,12,"3,4,6,8,10,11,15,18,19,20,23,24"
8.269073433,8.269067103,9.481214237,0.146588136,3600.067944,3600.07,6.329999423,13,13,12,"2,3,6,7,8,10,14,15,19,20,24,25"
7.32636084,7.32635451,9.362635651,0.277939204,3600.431282,3600.43,6.329999195,15,13,12,"2,3,4,6,7,8,11,14,18,19,22,25"
7.563328852,7.563322612,9.32286708,0.232641732,3600.089107,3600.09,6.239999039,14,13,12,"2,4,6,8,14,15,18,19,20,22,24,25"
7.712461251,7.712455026,9.434068531,0.223225095,3600.050256,3600.05,6.224979506,14,13,12,"3,4,6,7,8,14,15,19,20,22,24,25"
7.599903161,7.599896611,9.436001934,0.241596092,3600.10689,3600.11,6.549998433,14,13,12,"2,3,4,6,8,11,14,18,19,20,23,25"
7.519269522,7.519262677,9.37087356,0.246248996,3600.12198,3600.13,6.844999325,14,13,12,"2,3,4,8,11,14,18,20,22,23,24,25"
8.091742788,8.091736338,9.380146775,0.15922546,3600.159692,3600.16,6.449999143,13,13,12,"3,6,7,10,11,14,15,18,19,20,23,25"
7.306549907,7.306543477,9.209730847,0.260477116,3600.106246,3600.11,6.429996901,15,14,12,"3,4,6,8,10,11,15,18,19,20,22,23"
7.313647471,7.313641036,9.398107018,0.285010704,3600.566143,3600.57,6.435,15,13,12,"2,3,6,7,8,10,15,19,20,22,24,25"
7.282172268,7.282166128,9.270135328,0.272991465,3600.073886,3600.08,6.139996524,15,13,12,"3,4,6,7,8,11,14,15,18,19,20,22"
